,name,rating,sub_region,year,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,kompas,kompas2
553,Le Difese ,3.7,Toscana,2015,223.98 ,0.420538,0.38912199999999997,0.03241309999999999,0.44611199999999995,Tenuta San Guido,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
554,Syrah Toscana Collezione Privata ,4.3,Toscana,2015,334.14 ,0.46137700000000004,0.43967500000000004,0.04087280000000001,0.43571999999999994,Isole e Olena,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
555,Il Nero di Casanova Toscana Sangiovese ,3.6,Toscana,2015,149 ,0.47056800000000004,0.378996,0.018239400000000003,0.423761,La Spinetta,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
556,Vigna di Sessina Chianti Classico Gran Selezione ,4.3,Chianti Classico,2015,379.23 ,0.5415760000000001,0.52389,0.150544,0.50563,Dievole,semi bold,semi tannic,semi dry,semi acidic,Toscana,North,North-west
557,I Pini ,3.8,Toscana,2015,249 ,0.500159,0.40165799999999996,0.0406032,0.43775,Fattoria di Basciano,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
558,Ciabot Tanasio Barolo ,4.1,Barolo,2015,199 ,0.613811,0.7593429999999999,0.0,0.825,Sobrero,semi bold,tannic,dry,acidic,Piemonte,North,North-west
559,Tìros Limited Edition ,4.2,Colli del Limbara,2015,227.18 ,0.825,0.373446,0.22107500000000002,0.226274,Siddura,bold,semi smooth,semi dry,semi soft,Sardegna,West,West
560,Sorgente Rosso di Montalcino ,4.3,Rosso di Montalcino,2015,350.08 ,0.358,0.371182,0.0,0.488872,Salicutti,light,semi smooth,dry,semi acidic,Toscana,North,North-west
561,Rosso Veneto ,4.0,Veneto,2015,49.83 ,0.652434,0.329089,0.17922999999999997,0.19649999999999998,Gran Passione,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
562,Pichemej Barolo ,4.0,Barolo,2015,349 ,0.610867,0.727644,0.0,0.807611,Gian Piero Marrone,semi bold,tannic,dry,acidic,Piemonte,North,North-west
563,Il Favot Langhe Nebbiolo ,4.3,Langhe,2015,449 ,0.628314,0.781632,0.0495768,0.813914,Aldo Conterno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
564,Senes Cannonau de Sardegna Riserva ,4.0,Cannonau di Sardegna,2015,149 ,0.628501,0.413195,0.0230459,0.42301,Argiolas,semi bold,semi smooth,dry,semi acidic,Sardegna,West,West
565,Vendemmia Barolo ,4.0,Barolo,2015,318 ,0.61882,0.800765,0.0,0.825,Barale Fratelli,semi bold,tannic,dry,acidic,Piemonte,North,North-west
566,Barolo La Pieve ,4.0,Barolo,2015,305 ,0.643251,0.785185,0.0,0.825,Abbona,semi bold,tannic,dry,acidic,Piemonte,North,North-west
567,Pigaro Amarone della Valpolicella Classico ,4.0,Amarone della Valpolicella Classico,2015,300 ,0.825,0.289675,0.400418,0.210414,Speri,bold,smooth,semi sweet,soft,Veneto,North,North-east
568,Bric Valdiana Roero ,4.1,Roero,2015,300 ,0.6162100000000001,0.825,0.079611,0.825,Giovanni Almondo,semi bold,tannic,dry,acidic,Piemonte,North,North-west
569,Massimino ,4.1,Verona,2015,149 ,0.667873,0.463557,0.23491800000000002,0.301496,Venturini,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
570,Ca' Coato Amarone della Valpolicella Classico ,4.4,Amarone della Valpolicella Classico,2015,299 ,0.825,0.165503,0.53452,0.21150400000000003,Antolini,bold,smooth,sweet,soft,Veneto,North,North-east
571,Barolo Castelletto ,4.1,Barolo,2015,299 ,0.4722,0.726145,0.016158000000000002,0.762807,Forte Masso,semi light,tannic,dry,acidic,Piemonte,North,North-west
572,Alicante ,3.8,Costa Toscana,2015,200 ,0.3885100000000001,0.407152,0.0,0.475548,Ampeleia,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
573,Toscana Campo di Magnacosta  Rosso ,4.3,Toscana,2015,570 ,0.42526899999999995,0.41112499999999996,0.149563,0.435236,Tenuta di Trinoro,semi light,semi smooth,semi dry,semi acidic,Toscana,North,North-west
574,Amarone della Valpolicella Classico Lena di Mezzo ,4.2,Amarone della Valpolicella Classico,2015,212.62 ,0.825,0.20278400000000002,0.46736999999999995,0.207271,Monte del Frá,bold,smooth,sweet,soft,Veneto,North,North-east
575,Il Sestante Amarone della Valpolicella ,4.2,Amarone della Valpolicella,2015,235.35 ,0.821635,0.16330999999999998,0.49446399999999996,0.240477,Tommasi,bold,smooth,sweet,semi soft,Veneto,North,North-east
576,Settecento Vino Nobile di Montepulciano ,4.0,Vino Nobile di Montepulciano,2015,259 ,0.512965,0.522733,0.0,0.613198,Podere Casanova,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
577,Cà d'Oro Garda Cabernet Sauvignon ,4.4,Garda,2015,239 ,0.64932,0.34051000000000003,0.31125,0.237895,Roveglia,semi bold,semi smooth,semi sweet,semi soft,Lombardia,North,North
578,Santufili Primitivo ,4.2,Salento,2015,135.56 ,0.6509130000000001,0.190689,0.429641,0.099136,Mocavero,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
579,Don Antonio Nero d'Avola (Riserva) ,4.2,Sicilia,2015,239 ,0.825,0.395471,0.25616900000000004,0.193596,Morgante,bold,semi smooth,semi dry,soft,Sicilia,South,South
580,Amaranta Montepulciano d'Abruzzo ,4.3,Montepulciano d'Abruzzo,2015,199 ,0.40913200000000005,0.36200299999999996,0.13380699999999998,0.583142,Tenuta Ulisse,semi light,semi smooth,dry,semi acidic,Abruzzo,East,East
581,Chianti Classico Riserva ,3.9,Chianti Classico,2015,169 ,0.419727,0.561436,0.05850580000000001,0.671093,Monte Bernardi,semi light,semi tannic,dry,acidic,Toscana,North,North-west
582,Tenuta di Campriano Chianti Riserva ,3.7,Chianti,2015,225 ,0.40875,0.473864,0.0,0.604046,Buccia Nera,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
583,Montefalco Rosso ,4.0,Montefalco,2015,209 ,0.514518,0.483533,0.0038470000000000006,0.42801900000000004,Fattoria Colleallodole Milziade Antano,semi light,semi tannic,dry,semi acidic,Umbria,Central,Central
584,Kurni Marche ,4.6,Marche,2015,1452.47 ,0.545371,0.39981099999999997,0.31029,0.40286099999999997,Oasi degli Angeli,semi bold,semi smooth,semi sweet,semi soft,Marche,East,East
585,Pelagrilli Brunello di Montalcino ,4.3,Brunello di Montalcino,2015,306.88 ,0.42648,0.564985,0.055000999999999994,0.591986,Siro Pacenti,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
586,Contrada Santo Spirito ,3.8,Etna,2015,349 ,0.792439,0.473781,0.096509,0.284939,Tenuta di Aglaea,bold,semi tannic,dry,semi soft,Sicilia,South,South
587,Vigne di Montornello Chianti Classico Gran Selezione ,4.0,Chianti Classico,2015,185 ,0.504165,0.5768220000000001,0.0596407,0.6365179999999999,Bibbiano,semi light,semi tannic,dry,acidic,Toscana,North,North-west
588,Sardelli Chianti ,3.5,Chianti,2015,49.75 ,0.347186,0.490039,0.029722999999999996,0.5914100000000001,Cecchi,light,semi tannic,dry,semi acidic,Toscana,North,North-west
589,Guerriero della Terra ,4.6,Marche,2015,138.36 ,0.6007979999999999,0.31931899999999996,0.39320099999999997,0.36387,Guerrieri,semi bold,semi smooth,semi sweet,semi soft,Marche,East,East
590,Tortoniano Barolo ,4.1,Barolo,2015,322.22 ,0.579658,0.702816,0.004436900000000001,0.825,Michele Chiarlo,semi bold,tannic,dry,acidic,Piemonte,North,North-west
591,Maremma Toscana Ornello ,3.9,Maremma Toscana,2015,189 ,0.491703,0.410505,0.076403,0.427018,Rocca di Frassinello,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
592,Le Nicchie Barbera d'Asti Superiore Nizza ,3.9,Barbera d'Asti,2015,199 ,0.511379,0.237697,0.0,0.594114,La Gironda,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
593,Terlé Barbera d'Alba ,4.0,Barbera d'Alba,2015,189 ,0.506424,0.21218199999999998,0.0,0.5325759999999999,Ronchi,semi light,smooth,dry,semi acidic,Piemonte,North,North-west
594,Inferi Montepulciano d'Abruzzo Riserva ,4.2,Montepulciano d'Abruzzo,2015,140.89 ,0.421996,0.40341099999999996,0.033363500000000004,0.6201779999999999,Marramiero,semi light,semi smooth,dry,semi acidic,Abruzzo,East,East
595,Castello della Sala Pinot Nero ,4.0,Umbria,2015,374.52 ,0.347316,0.311393,0.0152515,0.488945,Antinori,light,semi smooth,dry,semi acidic,Umbria,Central,Central
596,Musso ,3.8,Veneto,2015,198 ,0.579784,0.489358,0.035277,0.360426,Vignaioli Contrà Soarda,semi bold,semi tannic,dry,semi soft,Veneto,North,North-east
597,Castel del Monte Trentangeli Rosso ,3.8,Castel del Monte,2015,169 ,0.801952,0.42465400000000003,0.24282299999999998,0.269235,Tormaresca,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
598,Indio Montepulciano d'Abruzzo ,3.9,Montepulciano d'Abruzzo,2015,62.31 ,0.382325,0.343299,0.044818399999999994,0.5877300000000001,Bove,semi light,semi smooth,dry,semi acidic,Abruzzo,East,East
599,Morópio Amarone della Valpolicella Classico ,4.2,Amarone della Valpolicella Classico,2015,239 ,0.8098040000000001,0.19273800000000002,0.505028,0.224247,Antolini,bold,smooth,sweet,semi soft,Veneto,North,North-east
600,Tanca Farra Alghero ,3.8,Alghero,2015,199 ,0.7884310000000001,0.403774,0.20906199999999997,0.248018,Sella & Mosca,bold,semi smooth,semi dry,semi soft,Sardegna,West,West
601,Zerdí Rosso ,3.8,Benaco Bresciano,2015,101.30 ,0.637311,0.389014,0.129581,0.19218900000000003,Cantrina,semi bold,semi smooth,dry,soft,Lombardia,North,North
602,Yemula Sangiovese - Merlot ,4.0,Emilia,2015,239 ,0.478645,0.383538,0.024001,0.43666699999999997,Umberto Cesari,semi light,semi smooth,dry,semi acidic,Emilia Romagna,North,North
603,Cerasuolo di Vittoria Classico ,4.0,Cerasuolo di Vittoria,2015,159.77 ,0.783771,0.389726,0.209329,0.296302,COS,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
604,Campo Buri Carmenérè - Oseleta ,4.3,Veneto,2015,178.02 ,0.6487569999999999,0.35767299999999996,0.213748,0.221978,La Cappuccina,semi bold,semi smooth,semi dry,semi soft,Veneto,North,North-east
605,Rovente Morellino di Scansano ,4.3,Morellino di Scansano,2015,155.67 ,0.549837,0.406897,0.154387,0.353851,Col di Bacche,semi bold,semi smooth,semi dry,semi soft,Toscana,North,North-west
606,Carmenere Riserva Colli Berici Oratorio Di San Lorenzo ,4.3,Colli Berici,2015,276.19 ,0.650805,0.37536200000000003,0.140932,0.245288,Inama Azienda Agricola,semi bold,semi smooth,dry,semi soft,Veneto,North,North-east
607,Seraselva ,4.3,Toscana,2015,230.91 ,0.463141,0.307701,0.0415326,0.41157,Poggio Al Sole,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
608,Scaia Paradiso ,4.1,Veneto,2015,159 ,0.649504,0.329501,0.244334,0.20377099999999998,Tenuta Sant'Antonio,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
609,Amadio ,3.7,Toscana,2015,159 ,0.43762500000000004,0.445906,0.0,0.4125,Buccia Nera,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
610,Core Campania Tinto ,3.8,Campania,2015,102.29 ,0.803928,0.422451,0.235013,0.248663,Montevetrano,bold,semi smooth,semi dry,semi soft,Campania,South,South-west
611,Bricco San Giuliano Barbaresco ,3.7,Barbaresco,2015,229 ,0.6118199999999999,0.659802,0.03815169999999999,0.825,Pasquale Pelissero,semi bold,tannic,dry,acidic,Piemonte,North,North-west
612,Noà (Tenuta Presti e Pregni) ,3.9,Sicilia,2015,177.87 ,0.825,0.44648499999999997,0.287363,0.24263500000000002,Cusumano,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
613,Barbaresco Vigneto Brich Ronchi ,4.2,Barbaresco,2015,359 ,0.602923,0.680685,0.01740469999999999,0.816777,Albino Rocca,semi bold,tannic,dry,acidic,Piemonte,North,North-west
614,Barbaresco Montersino ,4.1,Barbaresco,2015,349 ,0.552696,0.6855410000000001,0.0,0.79172,Albino Rocca,semi bold,tannic,dry,acidic,Piemonte,North,North-west
615,Alta Mora Guardiola Etna Rosso ,3.8,Etna,2015,209.90 ,0.668248,0.45098999999999995,0.19313000000000002,0.36125999999999997,Cusumano,semi bold,semi smooth,semi dry,semi soft,Sicilia,South,South
616,Barolo Rocche Dell'Annunziata ,4.3,Barolo,2015,459 ,0.637863,0.727285,0.0,0.813891,Mauro Veglio,semi bold,tannic,dry,acidic,Piemonte,North,North-west
617,Noras Cannonau di Sardegna ,4.0,Cannonau di Sardegna,2015,94 ,0.638562,0.3812,0.10522000000000001,0.405539,Santadi,semi bold,semi smooth,dry,semi soft,Sardegna,West,West
618,Barbaresco Bordini ,3.9,Barbaresco,2015,222.71 ,0.571643,0.668151,0.0240142,0.82462,Elvio Cogno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
619,Casa La Gatta Valtellina Superiore ,3.4,Valtellina Superiore,2015,107.41 ,0.570716,0.692161,0.119353,0.819045,Triacca,semi bold,tannic,dry,acidic,Lombardia,North,North
620,Marùn Barbera d'Alba Superiore ,4.2,Barbera d'Alba,2015,180.78 ,0.516264,0.22241599999999997,0.19045,0.631773,Matteo Correggia,semi light,smooth,semi dry,acidic,Piemonte,North,North-west
621,It's A Game Toscana ,3.9,Toscana,2015,145.99 ,0.440035,0.35048999999999997,0.10355,0.45733,Bibi Graetz,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
622,Prima Pietra ,4.2,Toscana,2015,449.95 ,0.5350820000000001,0.38628700000000005,0.0661542,0.432087,Tenuta Prima Pietra,semi bold,semi smooth,dry,semi acidic,Toscana,North,North-west
623,Rivarossa ,4.0,Venezia Giulia,2015,169 ,0.604053,0.40915300000000004,0.213598,0.315057,Schiopetto,semi bold,semi smooth,semi dry,semi soft,Friuli-Venezia Giulia,North,North-east
624,L'Atto ,3.8,Aglianico del Vulture,2015,66.96 ,0.736674,0.40059,0.226067,0.297306,Cantine del Notaio,bold,semi smooth,semi dry,semi soft,Basilicata,South,South
625,Toscana 'Poggio Apricale' ,3.8,Toscana,2015,115 ,0.574629,0.360819,0.095153,0.23247800000000002,Martoccia,semi bold,semi smooth,dry,semi soft,Toscana,North,North-west
626,Gàbal Nero d'Avola ,3.6,Sicilia,2015,90 ,0.825,0.387266,0.263697,0.23458500000000002,Fazio,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
627,Barolo Acclivi ,4.3,Barolo,2015,798.49 ,0.596051,0.7807890000000001,0.020816400000000002,0.815765,Comm. G.B. Burlotto,semi bold,tannic,dry,acidic,Piemonte,North,North-west
628,Terre Aquilane Castello Di Semivicoli Rosso ,3.7,Abruzzo,2015,103.53 ,0.42262099999999997,0.363059,0.043519699999999994,0.454901,Masciarelli,semi light,semi smooth,dry,semi acidic,Abruzzo,East,East
629,Prinsiot Langhe Nebbiolo ,3.8,Langhe,2015,159 ,0.516809,0.780783,0.0,0.825,Fratelli Alessandria,semi light,tannic,dry,acidic,Piemonte,North,North-west
630,Bricco Sereno Barbera d'Asti Superiore ,4.2,Barbera d'Asti,2015,449 ,0.592006,0.164121,0.089564,0.547907,Tenuta la Meridiana,semi bold,smooth,dry,semi acidic,Piemonte,North,North-west
631,Conte Robert Pitti Sangiovese ,3.3,Toscana,2015,68.97 ,0.386277,0.357618,0.009909400000000002,0.37851399999999996,Torre a Cenaia,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
632,Lu Patri Nero d'Avola ,4.3,Sicilia,2015,245 ,0.7592709999999999,0.358454,0.24129,0.275731,Baglio del Cristo di Campobello,bold,semi smooth,semi dry,semi soft,Sicilia,South,South
633,Berardenga Chianti Classico ,3.7,Chianti Classico,2015,399 ,0.424823,0.566717,0.0435175,0.622983,Fèlsina,semi light,semi tannic,dry,acidic,Toscana,North,North-west
634,Burberosso Nobile di Montepulciano ,3.8,Vino Nobile di Montepulciano,2015,450 ,0.576143,0.6248319999999999,0.0,0.629482,Metinella,semi bold,semi tannic,dry,acidic,Toscana,North,North-west
635,Sforzato dell'Orco ,4.3,Sforzato della Valtellina,2015,349 ,0.596742,0.600638,0.210823,0.545251,Rivetti & Lauro,semi bold,semi tannic,semi dry,semi acidic,Lombardia,North,North
636,Barbaresco Rabaja Riserva ,4.3,Barbaresco,2015,550 ,0.6405289999999999,0.7448609999999999,0.075098,0.820167,Castello di Verduno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
637,Chianti Superiore ,3.5,Chianti,2015,129 ,0.412649,0.514111,0.0,0.626184,Banfi,semi light,semi tannic,dry,acidic,Toscana,North,North-west
638,Via Nuova Barolo ,4.1,Barolo,2015,434.92 ,0.6217199999999999,0.818929,0.014207999999999998,0.825,E. Pira & Figli,semi bold,tannic,dry,acidic,Piemonte,North,North-west
639,Rocche dei  Fratelli Barbaresco ,4.0,Barbaresco,2015,205 ,0.581519,0.608936,0.0,0.825,Lodali,semi bold,semi tannic,dry,acidic,Piemonte,North,North-west
640,Bussia Barolo ,4.3,Barolo,2015,942.24 ,0.598719,0.604919,0.160671,0.603272,Ceretto,semi bold,semi tannic,semi dry,semi acidic,Piemonte,North,North-west
641,Plenus Montepulciano d'Abruzzo ,3.6,Montepulciano d'Abruzzo,2015,175 ,0.264726,0.339855,0.0,0.5436610000000001,Marina Palusci,light,semi smooth,dry,semi acidic,Abruzzo,East,East
642,Vallocchio Brunello di Montalcino ,4.3,Brunello di Montalcino,2015,319.92 ,0.521389,0.582049,0.082178,0.598808,Fanti,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
643,Poggio Colombi ,4.0,Maremma Toscana,2015,179 ,0.454773,0.30381300000000006,0.0,0.393779,Pepi Lignana,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
644,Stilnovo Governo all'Uso Toscano ,3.7,Toscana,2015,169 ,0.46531999999999996,0.356288,0.09237500000000001,0.478845,Banfi,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
645,Morellino di Scansano Sicomoro Riserva ,3.9,Morellino di Scansano,2015,149 ,0.490094,0.35979999999999995,0.114505,0.457146,Cantina Vignaioli del Morellino di Scansano,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
646,Li Filitti Riserva Primitivo di Manduria ,4.2,Primitivo di Manduria,2015,174.48 ,0.6588660000000001,0.224281,0.426795,0.113801,Masca del Tacco,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
647,Podere Cariano Amarone della Valpolicella Classico ,4.4,Amarone della Valpolicella,2015,239 ,0.825,0.197525,0.435591,0.166022,Le Bertarole,bold,smooth,semi sweet,soft,Veneto,North,North-east
648,Berardenga Chianti Classico Riserva ,3.9,Chianti Classico,2015,141.52 ,0.44207799999999997,0.557883,0.019189400000000002,0.6275799999999999,Fèlsina,semi light,semi tannic,dry,acidic,Toscana,North,North-west
649,Barolo Parafada ,4.1,Barolo,2015,284.53 ,0.629762,0.742025,0.0695026,0.825,Palladino,semi bold,tannic,dry,acidic,Piemonte,North,North-west
650,Eloquenzia ,3.6,Copertino,2015,65.55 ,0.7096769999999999,0.442404,0.236375,0.27938199999999996,Severino Garofano,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
651,Serafino Chianti ,3.5,Chianti,2015,100 ,0.572881,0.606144,0.23707599999999998,0.629131,Tenuta Barbadoro,semi bold,semi tannic,semi dry,acidic,Toscana,North,North-west
652,Simbiosi ,3.8,Campania,2015,198.13 ,0.7749760000000001,0.487939,0.152549,0.37203699999999995,Fattoria La Rivolta,bold,semi tannic,semi dry,semi soft,Campania,South,South-west
653,Rosso di Toscana ,3.5,Toscana,2015,69.05 ,0.428673,0.420562,0.0,0.444459,Fattoria I Veroni,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
654,Sassella Valtellina Superiore ,3.7,Valtellina Superiore,2015,141.52 ,0.522806,0.6416330000000001,0.018596900000000006,0.7709950000000001,La Castellina Fondazione Fojanini,semi light,semi tannic,dry,acidic,Lombardia,North,North
655,L'Alberello Bolgheri Superiore ,4.2,Bolgheri Superiore,2015,347.33 ,0.6462260000000001,0.63503,0.0212364,0.49686199999999997,Grattamacco,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
656,Baron' Ugo Toscana Rosso ,4.3,Toscana,2015,443.19 ,0.46824599999999994,0.483802,0.0,0.595231,Monteraponi,semi light,semi tannic,dry,semi acidic,Toscana,North,North-west
657,Barbera d'Alba Cerretta ,4.2,Barbera d'Alba,2015,449 ,0.547723,0.23180999999999996,0.078438,0.5793269999999999,Giacomo Conterno,semi bold,smooth,dry,semi acidic,Piemonte,North,North-west
658,Bricco del Drago Langhe ,3.5,Langhe,2015,138.10 ,0.639023,0.43302799999999997,0.10874299999999999,0.27081999999999995,Poderi Colla,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
659,Terramè Primitivo ,3.8,Salento,2015,46.93 ,0.651165,0.20514600000000002,0.305631,0.04662619999999999,Tenuta Giustini,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
660,Grotta Rossa Carignano del Sulcis ,3.7,Carignano del Sulcis,2015,99.48 ,0.7500490000000001,0.362542,0.25962,0.27146899999999996,Santadi,bold,semi smooth,semi dry,semi soft,Sardegna,West,West
661,Terra d'Eclano Aglianico Irpinia ,4.2,Irpinia,2015,788.80 ,0.777222,0.44373399999999996,0.227378,0.30904000000000004,Quintodecimo,bold,semi smooth,semi dry,semi soft,Campania,South,South-west
662,Albe Barolo ,3.9,Barolo,2015,360.93 ,0.612146,0.775349,0.0,0.825,G.D. Vajra,semi bold,tannic,dry,acidic,Piemonte,North,North-west
663,Dante Marramiero Dama Montepulciano d'Abruzzo ,3.7,Montepulciano d'Abruzzo,2015,77.47 ,0.33089599999999997,0.354559,0.0,0.6456839999999999,Marramiero,light,semi smooth,dry,acidic,Abruzzo,East,East
664,I Quadri Vino Nobile di Montepulciano ,3.9,Vino Nobile di Montepulciano,2015,245.80 ,0.536199,0.613455,0.0,0.62595,Bindella - Tenuta Vallocaia,semi bold,semi tannic,dry,acidic,Toscana,North,North-west
665,Lorens Barbaresco ,4.1,Barbaresco,2015,310 ,0.661245,0.719422,0.03306769999999999,0.816893,Lodali,semi bold,tannic,dry,acidic,Piemonte,North,North-west
666,Fòla ,3.9,Cannonau di Sardegna,2015,173.92 ,0.60875,0.440861,0.146769,0.46114400000000005,Siddura,semi bold,semi smooth,semi dry,semi acidic,Sardegna,West,West
667,Le Stanze Toscana ,4.2,Toscana,2015,399 ,0.510655,0.424028,0.04929189999999999,0.419826,Poliziano,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
668,Dogliani ,3.7,Dogliani,2015,125 ,0.606596,0.409196,0.123929,0.298276,Luigi Einaudi,semi bold,semi smooth,dry,semi soft,Piemonte,North,North-west
669,Le Trame Toscana ,4.2,Toscana,2015,271.20 ,0.457283,0.40706400000000004,0.0448969,0.474131,Le Boncie,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
670,Barbera d'Alba Conca Tre Pile ,4.1,Barbera d'Alba,2015,299 ,0.543887,0.220098,0.06668400000000001,0.6281610000000001,Aldo Conterno,semi bold,smooth,dry,acidic,Piemonte,North,North-west
671,Barolo Arione ,4.5,Barolo,2015,1817.45 ,0.603075,0.680171,0.0598602,0.6759010000000001,Giacomo Conterno,semi bold,tannic,dry,acidic,Piemonte,North,North-west
672,Nottolino Toscana ,3.7,Toscana,2015,85 ,0.440345,0.447759,0.0,0.42948300000000006,Nottola,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
673,Arnione Bolgheri Superiore ,4.0,Bolgheri Superiore,2015,253.33 ,0.619108,0.6152880000000001,0.091136,0.515119,Campo Alla Sughera,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
674,Ué Pàssula Primitivo di Manduria ,4.3,Primitivo di Manduria,2015,141.15 ,0.612047,0.148715,0.370537,0.05531310000000001,Vinosia,semi bold,smooth,semi sweet,soft,Puglia,East,South-east
675,Fausoni Barbaresco ,4.3,Barbaresco,2015,489.15 ,0.599024,0.689139,0.05073169999999999,0.825,Sottimano,semi bold,tannic,dry,acidic,Piemonte,North,North-west
676,Immensum Salice Salentino Riserva ,3.9,Salice Salentino,2015,99 ,0.769152,0.420905,0.23348000000000002,0.220207,Candido,bold,semi smooth,semi dry,semi soft,Puglia,East,South-east
677,Casa al Piano Bolgheri ,3.5,Bolgheri,2015,120.44 ,0.627944,0.598595,0.0,0.589896,Tringali-Casanuova - Pietra-Nova,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
678,Amicone ,3.9,Veneto,2015,59 ,0.641049,0.33622599999999997,0.22535699999999997,0.19598700000000002,Cantine di Ora,semi bold,semi smooth,semi dry,soft,Veneto,North,North-east
679,Barolo Ciabot Mentin ,4.3,Barolo,2015,599 ,0.6483969999999999,0.825,0.023579800000000005,0.825,Domenico Clerico,semi bold,tannic,dry,acidic,Piemonte,North,North-west
680,Casanova Il Puro Chianti Classico Gran Selezione ,4.3,Chianti Classico,2015,737.41 ,0.478746,0.518639,0.0,0.647303,Volpaia,semi light,semi tannic,dry,acidic,Toscana,North,North-west
681,Parej Barolo ,4.0,Barolo,2015,595 ,0.610982,0.737847,0.04566219999999999,0.825,Icardi,semi bold,tannic,dry,acidic,Piemonte,North,North-west
682,Terre Siciliane Rosso ,3.2,Terre Siciliane,2015,540 ,0.7442759999999999,0.291875,0.239178,0.12023,Jamie's Italian,bold,semi smooth,semi dry,soft,Sicilia,South,South
683,Poggio Alle Nane Maremma Toscana ,4.3,Maremma Toscana,2015,499 ,0.524415,0.368011,0.121504,0.39710700000000004,Le Mortelle,semi light,semi smooth,dry,semi soft,Toscana,North,North-west
684,Testarossa Montepulciano d'Abruzzo ,4.3,Montepulciano d'Abruzzo,2015,180.18 ,0.41726199999999997,0.398891,0.092271,0.612085,Pasetti,semi light,semi smooth,dry,semi acidic,Abruzzo,East,East
685,Barolo Marenca ,4.3,Barolo,2015,479 ,0.638652,0.793256,0.099142,0.812103,Pira Luigi,semi bold,tannic,dry,acidic,Piemonte,North,North-west
686,Vie Erte Barbaresco ,4.1,Barbaresco,2015,450 ,0.610475,0.684276,0.05744669999999999,0.825,Cigliuti,semi bold,tannic,dry,acidic,Piemonte,North,North-west
687,Le Lucciole ,4.1,Romagna,2015,449 ,0.610724,0.493704,0.06614369999999999,0.346655,Chiara Condello,semi bold,semi tannic,dry,semi soft,Emilia Romagna,North,North
688,Barolo Castiglione ,4.2,Barolo,2015,449 ,0.592855,0.758551,0.019762699999999994,0.825,Vietti,semi bold,tannic,dry,acidic,Piemonte,North,North-west
689,Cuna ,3.9,Toscana,2015,409 ,0.40029899999999996,0.305017,0.0697054,0.487208,Podere Santa Felicita,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
690,Castello Fonterutoli Chianti Classico Gran Selezione ,4.2,Chianti Classico,2015,409 ,0.452751,0.540962,0.05420539999999999,0.623375,Mazzei,semi light,semi tannic,dry,acidic,Toscana,North,North-west
691,Terre Brune Superiore Carignano del Sulcis ,4.2,Carignano del Sulcis,2015,399 ,0.805902,0.41166800000000003,0.286503,0.23701899999999998,Santadi,bold,semi smooth,semi dry,semi soft,Sardegna,West,West
692,La Court Barbera d'Asti Nizza Riserva ,4.2,Barbera d'Asti,2015,399 ,0.527941,0.18227900000000002,0.029838199999999995,0.622652,Michele Chiarlo,semi light,smooth,dry,acidic,Piemonte,North,North-west
